Species,Age,Sex,AIV,Site,Latitude,Longitude,Year,Temperature,Population_Density
MALL,HY,M,1,Amherst Point,45.78333333,-64.25,2005,18.58571429,1.198920811
MALL,HY,F,0,White Birch,45.95,-64.3,2005,17.57857143,1.158658042
MALL,HY,F,1,White Birch,45.95,-64.3,2005,17.57857143,1.158658042
MALL,AHY,M,1,Tower Goose,45.95,-64.31666667,2005,17.57857143,1.158658042
MALL,AHY,M,1,Tower Goose,45.95,-64.31666667,2005,17.57857143,1.158658042
MALL,AHY,M,0,Tower Goose,45.95,-64.31666667,2005,17.57857143,1.158658042
BWTE,AHY,F,1,Allisary,46.33333333,-62.85,2005,17.92857143,2.139094222
MALL,HY,M,1,White Birch,45.95,-64.3,2005,17.39285714,1.158658042
MALL,AHY,M,1,Tower Goose,45.95,-64.31666667,2005,17.52142857,1.158658042
MALL,HY,M,0,Allisary,46.33333333,-62.85,2005,17.82857143,2.139094222
MALL,AHY,M,1,Marshfield,46.3,-63.066667,2005,19.07857143,2.139094222
MALL,HY,M,1,White Birch,45.95,-64.3,2005,18.02142857,1.158658042
MALL,AHY,M,0,White Birch,45.95,-64.3,2005,18.02142857,1.158658042
MALL,HY,M,1,Tower Goose,45.95,-64.31666667,2005,18.02142857,1.158658042
MALL,AHY,M,1,Tower Goose,45.95,-64.31666667,2005,18.02142857,1.158658042
MALL,AHY,M,1,Tower Goose,45.95,-64.31666667,2005,18.02142857,1.158658042
MALL,AHY,M,0,Eddy Road,45.83333333,-64.21666667,2005,18.02142857,1.198920811
MALL,HY,F,1,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,M,1,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
AGWT,HY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
ABDU,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
ABDU,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
ABDU,HY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,M,1,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,HY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,HY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,AHY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
BWTE,HY,M,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
BWTE,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
ABDU,HY,F,1,East Amherst,45.85,-64.16666667,2005,18.02142857,1.198920811
MALL,HY,F,1,White Birch,45.95,-64.3,2005,17.96428571,1.158658042
MALL,HY,M,0,White Birch,45.95,-64.3,2005,17.96428571,1.158658042
MALL,AHY,M,1,Tower Goose,45.95,-64.31666667,2005,17.96428571,1.158658042
MALL,AHY,M,0,Tower Goose,45.95,-64.31666667,2005,17.96428571,1.158658042
MALL,AHY,M,0,Tongue's Island,45.85,-64.26666667,2005,17.96428571,1.158658042
MALL,AHY,M,1,Eddy Road,45.83333333,-64.21666667,2005,17.96428571,1.198920811
MALL,HY,F,1,East Amherst,45.85,-64.16666667,2005,17.96428571,1.198920811
MALL,AHY,F,1,East Amherst,45.85,-64.16666667,2005,17.96428571,1.198920811
MALL,HY,F,1,White Birch,45.95,-64.3,2005,18.12142857,1.158658042
MALL,HY,M,1,White Birch,45.95,-64.3,2005,18.12142857,1.158658042
MALL,HY,F,1,White Birch,45.95,-64.3,2005,18.12142857,1.158658042
MALL,HY,M,1,White Birch,45.95,-64.3,2005,18.12142857,1.158658042
MALL,HY,F,0,White Birch,45.95,-64.3,2005,18.12142857,1.158658042
MALL,AHY,M,0,Tuddy's,46.23333333,-62.95,2005,19.83571429,2.139094222
MALL,AHY,M,0,Eddy Road,45.83333333,-64.21666667,2005,18.12142857,1.198920811
AMWI,HY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
AMWI,HY,F,0,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
AMWI,HY,F,0,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
ABDU,HY,F,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MBDH,HY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MBDH,HY,M,0,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MALL,HY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MALL,HY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MALL,HY,F,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MALL,AHY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MALL,AHY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
BWTE,HY,F,0,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
ABDU,HY,M,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
ABDU,HY,F,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
ABDU,HY,F,1,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MBDH,HY,F,0,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
ABDU,HY,M,0,Amherst Point,45.78333333,-64.25,2005,18.12142857,1.198920811
MALL,HY,F,1,White Birch,45.95,-64.3,2005,18.17857143,1.158658042
AMWI,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
