year,trap,seeds
1980,1,13
1980,2,131
1980,3,44
1980,4,44
1980,5,47
1980,6,27
1980,7,78
1980,8,17
1980,9,31
1980,10,184
1980,11,69
1980,12,28
1980,13,83
1980,14,55
1980,15,77
1980,16,45
1981,1,50
1981,2,1
1981,3,3
1981,4,3
1981,5,5
1981,6,2
1981,7,0
1981,8,0
1981,9,3
1981,10,7
1981,11,4
1981,12,1
1981,13,4
1981,14,3
1981,15,1
1981,16,7
1982,1,1
1982,2,0
1982,3,0
1982,4,2
1982,5,2
1982,6,0
1982,7,1
1982,8,0
1982,9,12
1982,10,54
1982,11,8
1982,12,1
1982,13,7
1982,14,0
1982,15,1
1982,16,2
1983,1,8
1983,2,4
1983,3,23
1983,4,11
1983,5,31
1983,6,35
1983,7,9
1983,8,6
1983,9,48
1983,10,7
1983,11,9
1983,12,28
1983,13,13
1983,14,6
1983,15,4
1983,16,4
1984,1,1
1984,2,2
1984,3,0
1984,4,0
1984,5,3
1984,6,0
1984,7,0
1984,8,1
1984,9,4
1984,10,35
1984,11,1
1984,12,0
1984,13,2
1984,14,0
1984,15,0
1984,16,0
1985,1,0
1985,2,29
1985,3,8
1985,4,9
1985,5,5
1985,6,11
1985,7,27
1985,8,2
1985,9,16
1985,10,56
1985,11,12
1985,12,4
1985,13,20
1985,14,9
1985,15,6
1985,16,5
1986,1,0
1986,2,2
1986,3,3
1986,4,3
1986,5,2
1986,6,6
1986,7,0
1986,8,0
1986,9,3
1986,10,31
1986,11,1
1986,12,3
1986,13,5
1986,14,0
1986,15,0
1986,16,0
1987,1,89
1987,2,123
1987,3,149
1987,4,147
1987,5,105
1987,6,82
1987,7,135
1987,8,65
1987,9,247
1987,10,102
1987,11,47
1987,12,118
1987,13,160
1987,14,106
1987,15,134
1987,16,95
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1988,13,0
1988,14,0
1988,15,0
1988,16,0
1989,1,0
1989,2,6
1989,3,0
1989,4,3
1989,5,1
1989,6,0
1989,7,4
1989,8,0
1989,9,2
1989,10,1
1989,11,0
1989,12,0
1989,13,0
1989,14,0
1989,15,0
1989,16,3
1990,1,13
1990,2,5
1990,3,1
1990,4,3
1990,5,6
1990,6,2
1990,7,6
1990,8,6
1990,9,85
1990,10,13
1990,11,1
1990,12,2
1990,13,40
1990,14,2
1990,15,0
1990,16,5
1991,1,50
1991,2,88
1991,3,91
1991,4,29
1991,5,51
1991,6,48
1991,7,89
1991,8,23
1991,9,61
