year,temp_fl,temp_gr,rain_fl,rain_gr
1980,14.9,15.2,75,437
1981,9.3,15.4,40,766
1982,11.5,15.8,109,487
1983,11.5,15.9,49,657
1984,13.4,17.1,49,622
1985,11.5,16.9,63,501
1986,10.8,16.1,36,536
1987,13.5,16.6,80,691
1988,11.7,16.2,58,506
1989,11.7,16.6,42,571
1990,12.5,17.5,53,1033
1991,12.9,16.7,83,799
1992,11.8,15.9,112,518
1993,11.7,15.1,59,665
1994,13,18.1,57,555
1995,11.4,16.3,81,874
1996,12.5,16.1,71,453
1997,10.3,16.9,97,618
1998,12.2,17.2,63,892
1999,12.5,18.3,103,529
2000,13.3,18.2,40,661
2001,13.3,16.7,39,633
2002,11.7,16.8,85,868
2003,13.1,16.2,23,725
2004,13.2,17.6,113,927
2005,12.7,17.6,37,570
2006,12.2,17.1,39,356
2007,12.3,17.2,44,677
2008,11.9,16.8,73.5,606.5
2009,12.8,16.5,60.5,648
2010,11.7,18.9,46.5,831
2011,11.7,17.9,71.5,912.5
2012,12.6,18.2,45,482.5
2013,13.7,17.6,35,888
2014,14.8,17,32.5,690.5
2015,13.2,17,27.5,501
2016,13.4,17.5,99.5,656
2017,13.1,16.5,115.5,1014
