site,parcelle,jour,mois,annee,num_arbre,nb_tiges,espece,dhp
BD,A,31,8,2004,1,1,TSCA,16.3
BD,A,31,8,2004,2,1,TSCA,24
BD,A,31,8,2004,6,1,TSCA,29.8
BD,A,31,8,2004,8,1,TSCA,15.5
BD,A,31,8,2004,9,1,TSCA,32
BD,A,31,8,2004,10,1,TSCA,11.3
BD,A,31,8,2004,11,1,TSCA,44.8
BD,A,31,8,2004,12,1,TSCA,17.2
BD,A,31,8,2004,13,1,TSCA,70.5
BD,A,31,8,2004,14,1,TSCA,31.7
BD,A,31,8,2004,17,1,TSCA,46
BD,A,31,8,2004,18,1,TSCA,19.5
BD,A,31,8,2004,20,1,TSCA,38
BD,A,31,8,2004,22,1,TSCA,10.1
BD,A,31,8,2004,23,1,TSCA,9.2
BD,A,31,8,2004,25,1,TSCA,9.9
BD,A,31,8,2004,26,1,TSCA,47.7
BD,A,31,8,2004,27,1,TSCA,28
BD,A,31,8,2004,28,1,TSCA,8.8
BD,B,26,8,2004,5,1,TSCA,10.2
BD,B,26,8,2004,6,1,TSCA,9.8
BD,B,26,8,2004,8,1,TSCA,12.4
BD,B,26,8,2004,9,1,TSCA,9
BD,B,26,8,2004,13,1,TSCA,9
BD,B,26,8,2004,15,1,TSCA,12.4
BD,B,26,8,2004,16,1,TSCA,9
BD,B,26,8,2004,17,1,TSCA,9.3
BD,B,26,8,2004,18,1,TSCA,9
BD,B,26,8,2004,20,1,TSCA,9.3
BD,B,26,8,2004,22,1,TSCA,60
BD,B,26,8,2004,23,1,TSCA,52
BD,B,26,8,2004,26,1,TSCA,31.7
CFR,A,16,8,2004,9,1,TSCA,38.4
CFR,A,16,8,2004,12,1,TSCA,43
CFR,A,16,8,2004,16,1,TSCA,46.4
CFR,A,16,8,2004,28,1,TSCA,23.3
CFR,A,16,8,2004,33,1,TSCA,27.6
CFR,A,16,8,2004,35,1,TSCA,24.5
CFR,A,16,8,2004,37,1,TSCA,20.7
CFR,A,16,8,2004,40,1,TSCA,29.8
CFR,A,16,8,2004,47,1,TSCA,13.4
CFR,B,17,8,2004,6,1,TSCA,76.8
CFR,B,17,8,2004,9,1,TSCA,66.4
CFR,B,17,8,2004,12,1,TSCA,74.8
NCL,A,24,8,2004,1,1,TSCA,15.7
NCL,A,24,8,2004,2,1,TSCA,23.7
NCL,A,24,8,2004,3,1,TSCA,12
NCL,A,24,8,2004,4,1,TSCA,20.01
NCL,A,24,8,2004,5,1,TSCA,10.3
NCL,A,24,8,2004,6,1,TSCA,34.8
NCL,A,24,8,2004,13,1,TSCA,24
NCL,A,24,8,2004,16,1,TSCA,31.9
NCL,A,24,8,2004,17,1,TSCA,37.6
NCL,A,24,8,2004,18,1,TSCA,23
NCL,A,24,8,2004,21,1,TSCA,21.6
NCL,A,24,8,2004,23,1,TSCA,14.21
NCL,A,24,8,2004,28,1,TSCA,47.5
NCL,A,24,8,2004,29,1,TSCA,11.7
NCL,A,24,8,2004,30,1,TSCA,27.9
NCL,A,24,8,2004,31,1,TSCA,35.5
NCL,A,24,8,2004,32,1,TSCA,40.6
NCL,A,24,8,2004,33,1,TSCA,40.4
NCL,A,24,8,2004,34,1,TSCA,9.6
NCL,A,24,8,2004,39,1,TSCA,11.9
NCL,B,18,8,2004,1,1,TSCA,21.1
NCL,B,18,8,2004,7,1,TSCA,24.3
NCL,B,18,8,2004,8,1,TSCA,9.9
NCL,B,18,8,2004,10,1,TSCA,12.4
NCL,B,18,8,2004,12,1,TSCA,26.8
NCL,B,18,8,2004,14,1,TSCA,19
NCL,B,18,8,2004,16,1,TSCA,17.2
NCL,B,18,8,2004,17,1,TSCA,12.1
NCL,B,18,8,2004,18,1,TSCA,12.4
NCL,B,18,8,2004,19,1,TSCA,16.2
NCL,B,18,8,2004,20,1,TSCA,38.6
NCL,B,18,8,2004,22,1,TSCA,9
NCL,B,18,8,2004,23,1,TSCA,10.5
NCL,B,18,8,2004,24,1,TSCA,11.3
NCL,B,18,8,2004,25,1,TSCA,10
NCL,B,18,8,2004,26,1,TSCA,17.2
NCL,B,18,8,2004,29,1,TSCA,16.9
NCL,B,18,8,2004,31,1,TSCA,12.2
NCL,B,18,8,2004,32,1,TSCA,10.8
NCL,B,18,8,2004,34,1,TSCA,28.5
NCL,B,18,8,2004,35,1,TSCA,41.3
NCL,B,18,8,2004,38,1,TSCA,16.5
NCL,B,18,8,2004,39,1,TSCA,21.3
NCL,B,18,8,2004,40,1,TSCA,14.2
NCL,B,18,8,2004,42,1,TSCA,16.2
NCL,B,18,8,2004,46,1,TSCA,11.9
NCL,B,18,8,2004,48,1,TSCA,13.7
NCL,B,18,8,2004,50,1,TSCA,15.8
NCL,B,18,8,2004,51,1,TSCA,15.2
NCL,B,18,8,2004,54,1,TSCA,17.7
NCL,B,18,8,2004,55,1,TSCA,13
NCL,B,18,8,2004,56,1,TSCA,10.8
NCL,B,18,8,2004,60,1,TSCA,14.7
NCL,B,18,8,2004,61,1,TSCA,14
NCL,B,18,8,2004,62,1,TSCA,12.8
NCL,B,18,8,2004,64,1,TSCA,25.4
NCL,B,18,8,2004,65,1,TSCA,11.7
NCL,B,18,8,2004,66,1,TSCA,17.6
NCL,B,18,8,2004,67,1,TSCA,19.1
NCL,B,18,8,2004,70,1,TSCA,26.1
NCL,B,18,8,2004,71,1,TSCA,11.8
NCL,B,18,8,2004,72,1,TSCA,10.3
NCL,B,18,8,2004,79,1,TSCA,16.5
PL,A,26,8,2004,2,1,TSCA,22
PL,A,26,8,2004,5,1,TSCA,11.9
PL,A,26,8,2004,7,1,TSCA,15.1
PL,A,26,8,2004,8,1,TSCA,9.6
PL,A,26,8,2004,9,1,TSCA,15
PL,A,26,8,2004,11,1,TSCA,18.6
PL,A,26,8,2004,12,1,TSCA,10.5
PL,A,26,8,2004,14,1,TSCA,10.9
PL,A,26,8,2004,15,1,TSCA,11.8
PL,A,26,8,2004,27,1,TSCA,11.1
PL,A,26,8,2004,28,1,TSCA,14.8
PL,A,26,8,2004,30,1,TSCA,14
PL,A,26,8,2004,38,1,TSCA,15
PL,A,26,8,2004,42,1,TSCA,24
PL,A,26,8,2004,52,1,TSCA,13.4
PL,A,26,8,2004,54,1,TSCA,9.6
PL,A,26,8,2004,62,1,TSCA,13.8
PL,A,26,8,2004,63,1,TSCA,10.1
